t, dist, e_dist, dist_err, input, output, error
0.028200, -1.956865, 92.625019, -94.581884, -1.570796, 0.933135, -2.503931, 
0.028300, -2.014529, 91.979817, -93.994346, -1.570796, 0.932324, -2.503120, 
0.028400, -2.071875, 91.336905, -93.408779, -1.570796, 0.931510, -2.502306, 
0.028500, -2.128893, 90.696216, -92.825109, -1.570796, 0.930693, -2.501489, 
0.028600, -2.185575, 90.057689, -92.243264, -1.570796, 0.929874, -2.500670, 
0.028700, -2.241913, 89.421262, -91.663175, -1.570796, 0.929052, -2.499848, 
0.028800, -2.297896, 88.786913, -91.084809, -1.570796, 0.928226, -2.499022, 
0.028900, -2.353516, 88.154667, -90.508183, -1.570796, 0.927398, -2.498194, 
0.029000, -2.408765, 87.524563, -89.933328, -1.570796, 0.926568, -2.497364, 
0.029100, -2.463633, 86.896636, -89.360269, -1.570796, 0.925734, -2.496530, 
0.029200, -2.518113, 86.270922, -88.789035, -1.570796, 0.924897, -2.495693, 
0.029300, -2.572194, 85.647454, -88.219649, -1.570796, 0.924058, -2.494854, 
0.029400, -2.625870, 85.026266, -87.652136, -1.570796, 0.923216, -2.494012, 
0.029500, -2.679131, 84.407389, -87.086520, -1.570796, 0.922371, -2.493167, 
0.029600, -2.731968, 83.790853, -86.522822, -1.570796, 0.921524, -2.492320, 
0.029700, -2.784375, 83.176689, -85.961064, -1.570796, 0.920674, -2.491470, 
0.029800, -2.836342, 82.564924, -85.401266, -1.570796, 0.919821, -2.490617, 
0.029900, -2.887860, 81.955587, -84.843447, -1.570796, 0.918965, -2.489761, 
0.030000, -2.938923, 81.348703, -84.287626, -1.570796, 0.918107, -2.488903, 
0.030100, -2.989522, 80.744299, -83.733820, -1.570796, 0.917246, -2.488042, 
0.030200, -3.039648, 80.142398, -83.182046, -1.570796, 0.916383, -2.487179, 
0.030300, -3.089295, 79.543025, -82.632320, -1.570796, 0.915516, -2.486312, 
0.030400, -3.138454, 78.946202, -82.084656, -1.570796, 0.914648, -2.485444, 
0.030500, -3.187117, 78.351952, -81.539068, -1.570796, 0.913777, -2.484573, 
0.030600, -3.235277, 77.760294, -80.995571, -1.570796, 0.912903, -2.483699, 
0.030700, -3.282926, 77.171250, -80.454176, -1.570796, 0.912027, -2.482823, 
0.030800, -3.330056, 76.584839, -79.914895, -1.570796, 0.911148, -2.481944, 
0.030900, -3.376661, 76.001079, -79.377740, -1.570796, 0.910266, -2.481062, 
0.031000, -3.422733, 75.419988, -78.842720, -1.570796, 0.909383, -2.480179, 
0.031100, -3.468264, 74.841582, -78.309846, -1.570796, 0.908496, -2.479292, 
0.031200, -3.513247, 74.265879, -77.779126, -1.570796, 0.907608, -2.478404, 
0.031300, -3.557676, 73.692893, -77.250569, -1.570796, 0.906717, -2.477513, 
0.031400, -3.601542, 73.122640, -76.724182, -1.570796, 0.905823, -2.476619, 
0.031500, -3.644840, 72.555133, -76.199973, -1.570796, 0.904927, -2.475723, 
0.031600, -3.687563, 71.990386, -75.677949, -1.570796, 0.904029, -2.474825, 
0.031700, -3.729703, 71.428411, -75.158114, -1.570796, 0.903128, -2.473924, 
0.031800, -3.771254, 70.869220, -74.640474, -1.570796, 0.902225, -2.473021, 
